neighborhood,geoType,indicator,value,topic,displayTopic,type,format,order,topicOrder
Connecticut,3_state,Total population,3588570,age,Age,table,",",1,1
Waterbury,2_city,Total population,109211,age,Age,table,",",1,1
Zip 06702,1_neighborhood,Total population,3057,age,Age,table,",",1,1
Zip 06704,1_neighborhood,Total population,25537,age,Age,table,",",1,1
Zip 06705,1_neighborhood,Total population,27195,age,Age,table,",",1,1
Zip 06706,1_neighborhood,Total population,14637,age,Age,table,",",1,1
Zip 06708,1_neighborhood,Total population,28310,age,Age,table,",",1,1
Zip 06710,1_neighborhood,Total population,10521,age,Age,table,",",1,1
Connecticut,3_state,Population under age 18,773652,age,Age,table,",",2,2
Waterbury,2_city,Population under age 18,28119,age,Age,table,",",2,2
Zip 06702,1_neighborhood,Population under age 18,433,age,Age,table,",",2,2
Zip 06704,1_neighborhood,Population under age 18,6990,age,Age,table,",",2,2
Zip 06705,1_neighborhood,Population under age 18,6796,age,Age,table,",",2,2
Zip 06706,1_neighborhood,Population under age 18,3963,age,Age,table,",",2,2
Zip 06708,1_neighborhood,Population under age 18,6453,age,Age,table,",",2,2
Zip 06710,1_neighborhood,Population under age 18,3508,age,Age,table,",",2,2
Connecticut,3_state,Percent under age 18,0.216,age,Age,map,.0%,3,3
Waterbury,2_city,Percent under age 18,0.257,age,Age,map,.0%,3,3
Zip 06702,1_neighborhood,Percent under age 18,0.142,age,Age,map,.0%,3,3
Zip 06704,1_neighborhood,Percent under age 18,0.274,age,Age,map,.0%,3,3
Zip 06705,1_neighborhood,Percent under age 18,0.25,age,Age,map,.0%,3,3
Zip 06706,1_neighborhood,Percent under age 18,0.271,age,Age,map,.0%,3,3
Zip 06708,1_neighborhood,Percent under age 18,0.228,age,Age,map,.0%,3,3
Zip 06710,1_neighborhood,Percent under age 18,0.333,age,Age,map,.0%,3,3
Connecticut,3_state,Population ages 65+,555023,age,Age,table,",",4,4
Waterbury,2_city,Population ages 65+,13309,age,Age,table,",",4,4
Zip 06702,1_neighborhood,Population ages 65+,876,age,Age,table,",",4,4
Zip 06704,1_neighborhood,Population ages 65+,2697,age,Age,table,",",4,4
Zip 06705,1_neighborhood,Population ages 65+,3561,age,Age,table,",",4,4
Zip 06706,1_neighborhood,Population ages 65+,1556,age,Age,table,",",4,4
Zip 06708,1_neighborhood,Population ages 65+,3783,age,Age,table,",",4,4
